organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Norfolk,EDE,EDE105,Sporle,Newfields,"Newfields, Sporle",,0.7315654227840739,52.6652521763398,Monday,15:00,15:20,FREQ=WEEKLY;INTERVAL=4,2019-08-19,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-105.pdf
Norfolk,EDE,EDE208,Boughton,Mill Road,"Mill Road, Boughton",,0.5052728241091804,52.5895589263198,Tuesday,10:45,11:00,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-208.pdf
Norfolk,EDE,EDE406,Whittington,Norman Drive,"Norman Drive, Whittington",,0.5320107117166551,52.56316411986415,Thursday,11:25,11:40,FREQ=WEEKLY;INTERVAL=4,2019-08-29,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-406.pdf
Norfolk,DER,DER402,Holme-Next-The-Sea,Peddars Way,"Peddars Way, Holme-Next-The-Sea",,0.5360227504203409,52.95663411775092,Thursday,11:00,11:20,FREQ=WEEKLY;INTERVAL=4,2019-08-29,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-402.pdf
Norfolk,CEN2,CEN217,Bradenham,Church Road,"Church Road, Bradenham",,0.8497581824721535,52.63905882128717,Tuesday,11:15,11:30,FREQ=WEEKLY;INTERVAL=4,2019-08-27,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-217.pdf
Norfolk,DOW,DOW203,Terrington St Clement,Alma Ave (No47),"Alma Ave (No47), Terrington St Clement",,0.3086177548448228,52.76248604803916,Tuesday,10:50,11:20,FREQ=WEEKLY;INTERVAL=4,2019-09-03,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-203.pdf
Norfolk,CEN3,CEN523,Ashill,Orchard Close,"Orchard Close, Ashill",,0.7793330946445486,52.59707330712393,Friday,11:35,11:50,FREQ=WEEKLY;INTERVAL=4,2019-08-16,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN3-523.pdf
Norfolk,EDE,EDE206,Harpley,Rose & Crown Ph,"Rose & Crown Ph, Harpley",,0.6500002955968004,52.80134252867196,Tuesday,11:30,11:40,FREQ=WEEKLY;INTERVAL=4,2019-08-27,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-206.pdf
Norfolk,EDE,EDE207,East Rudham,Groveside,"Groveside, East Rudham",,0.7029595028135119,52.81960675365688,Tuesday,11:00,11:10,FREQ=WEEKLY;INTERVAL=4,2019-09-03,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-207.pdf
Norfolk,CEN1,CEN220,Gt Hockham,Scotgate Close,"Scotgate Close, Gt Hockham",,0.8767384330213307,52.498232992478904,Tuesday,11:15,11:35,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-220.pdf
Norfolk,DER,DER201,Heacham,Ringstead Road,"Ringstead Road, Heacham",,0.5035573681670117,52.91323601009823,Tuesday,10:50,11:00,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-201.pdf
