organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Treetops,Westown,Westown - Treetops,,-3.217384,56.430405,Tuesday,15:10,15:25,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Kinross,Whyte Court,Whyte Court - Kinross,,-3.424794,56.203663,Wednesday,15:45,16:15,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Bus stop,Wolfhill,Wolfhill - Bus stop,,-3.370447,56.483573,Wednesday,09:30,09:55,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 1 Tuesday,Acharn,Acharn,Acharn,,-4.025736,56.569924,Tuesday,19:00,19:20,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 2 Tuesday,Ald Clune,Ald Clune,Ald Clune,,-3.798124,56.753386,Tuesday,15:30,15:45,FREQ=WEEKLY;INTERVAL=2,2019-03-26,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 1 Thursday,Aldour Gardens,Aldour Gardens,Aldour Gardens,,-3.716692,56.69684,Thursday,10:00,10:30,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 2 Wednesday,Rattray,Ashgrove Court,Ashgrove Court - Rattray,,-3.333373,56.591866,Wednesday,11:00,11:40,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 2 Thursday,Auchlone Nature Kindergarten,Auchlone Nature Kindergarten,Auchlone Nature Kindergarten,,-3.739542,56.396946,Thursday,14:10,14:30,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 2 Wednesday,Phonebox,Ballintuim,Ballintuim - Phonebox,,-3.462916,56.675146,Wednesday,14:25,14:40,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 3,Mobile 3 Week 2 Tuesday,Bus Stop,Balnaguard,Balnaguard - Bus Stop,,-3.722559,56.64664,Tuesday,13:40,14:00,FREQ=WEEKLY;INTERVAL=2,2019-03-26,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
